Company: Seychelles - Emissions: 0 metric tons
Company: Albania - Emissions: 8 metric tons
Company: Maldives - Emissions: 2 metric tons
Company: Bulgaria - Emissions: 91 metric tons
Company: Angola - Emissions: 27 metric tons
Company: Spain - Emissions: 368 metric tons
Company: Azerbaijan - Emissions: 56 metric tons
Company: Faroe Islands - Emissions: 0 metric tons
Company: Latvia - Emissions: 25 metric tons
Company: Norway - Emissions: 45 metric tons
Company: Netherlands - Emissions: 187 metric tons
Company: Brunei - Emissions: 11 metric tons
Company: Afghanistan - Emissions: 11 metric tons
Company: Central African Republic - Emissions: 0 metric tons
Company: Bermuda - Emissions: 0 metric tons
Company: Nauru - Emissions: 0 metric tons
Company: Madagascar - Emissions: 4 metric tons
Company: Israel - Emissions: 74 metric tons
Company: Switzerland - Emissions: 46 metric tons
Company: Africa (GCP) - Emissions: 1479 metric tons
Company: Eswatini - Emissions: 1 metric tons
Company: Russia - Emissions: 2536 metric tons
Company: Lebanon - Emissions: 27 metric tons
Company: Asia (GCP) - Emissions: 19747 metric tons
Company: South Korea - Emissions: 670 metric tons
Company: Austria - Emissions: 79 metric tons
Company: Bahamas - Emissions: 9 metric tons
Company: Canada - Emissions: 591 metric tons
Company: Yemen - Emissions: 27 metric tons
Company: Barbados - Emissions: 1 metric tons
Company: Zimbabwe - Emissions: 17 metric tons
Company: Saudi Arabia - Emissions: 736 metric tons
Company: Kyrgyzstan - Emissions: 21 metric tons
Company: Cuba - Emissions: 35 metric tons
Company: Argentina - Emissions: 204 metric tons
Company: Iran - Emissions: 817 metric tons
Company: Belarus - Emissions: 121 metric tons
Company: Trinidad and Tobago - Emissions: 47 metric tons
Company: Congo - Emissions: 8 metric tons
Company: Estonia - Emissions: 38 metric tons
Company: Antigua and Barbuda - Emissions: 1 metric tons
Company: Armenia - Emissions: 9 metric tons
Company: Asia (excl. China and India) - Emissions: 7635 metric tons
Company: Benin - Emissions: 5 metric tons
Company: Burkina Faso - Emissions: 6 metric tons
Company: Djibouti - Emissions: 0 metric tons
Company: Europe (excl. EU-28) - Emissions: 3566 metric tons
Company: Czechia - Emissions: 187 metric tons
Company: Guinea-Bissau - Emissions: 0 metric tons
Company: Democratic Republic of Congo - Emissions: 5 metric tons
Company: Dominica - Emissions: 0 metric tons
Company: Solomon Islands - Emissions: 0 metric tons
Company: Bolivia - Emissions: 23 metric tons
Company: Dominican Republic - Emissions: 32 metric tons
Company: Belize - Emissions: 0 metric tons
Company: Greece - Emissions: 114 metric tons
Company: Tunisia - Emissions: 32 metric tons
Company: Iceland - Emissions: 3 metric tons
Company: Zambia - Emissions: 8 metric tons
Company: Lower-middle-income countries - Emissions: 4882 metric tons
Company: Ecuador - Emissions: 43 metric tons
Company: El Salvador - Emissions: 8 metric tons
Company: Equatorial Guinea - Emissions: 8 metric tons
Company: Cote d'Ivoire - Emissions: 13 metric tons
Company: British Virgin Islands - Emissions: 0 metric tons
Company: Eritrea - Emissions: 0 metric tons
Company: South America (GCP) - Emissions: 1224 metric tons
Company: Burundi - Emissions: 0 metric tons
Company: Ethiopia - Emissions: 17 metric tons
Company: Oman - Emissions: 78 metric tons
Company: Jordan - Emissions: 25 metric tons
Company: Europe - Emissions: 8038 metric tons
Company: Europe (GCP) - Emissions: 8038 metric tons
Company: Oceania (GCP) - Emissions: 462 metric tons
Company: French Polynesia - Emissions: 0 metric tons
Company: Qatar - Emissions: 115 metric tons
Company: Micronesia (country) - Emissions: 0 metric tons
Company: Europe (excl. EU-27) - Emissions: 4168 metric tons
Company: Kuwait - Emissions: 492 metric tons
Company: Gabon - Emissions: 7 metric tons
Company: Gambia - Emissions: 0 metric tons
Company: Georgia - Emissions: 16 metric tons
Company: Guatemala - Emissions: 20 metric tons
Company: Turkey - Emissions: 452 metric tons
Company: Singapore - Emissions: 60 metric tons
Company: Ryukyu Islands (GCP) - Emissions: 0 metric tons
Company: Guinea - Emissions: 4 metric tons
Company: Nepal - Emissions: 16 metric tons
Company: International shipping - Emissions: 645 metric tons
Company: Laos - Emissions: 24 metric tons
Company: Moldova - Emissions: 40 metric tons
Company: Bangladesh - Emissions: 113 metric tons
Company: Guyana - Emissions: 3 metric tons
Company: Wallis and Futuna - Emissions: 0 metric tons
Company: Honduras - Emissions: 11 metric tons
Company: China - Emissions: 11902 metric tons
Company: Iraq - Emissions: 190 metric tons
Company: Nicaragua - Emissions: 5 metric tons
Company: Anguilla - Emissions: 0 metric tons
Company: Haiti - Emissions: 3 metric tons
Company: United Kingdom - Emissions: 660 metric tons
Company: Tonga - Emissions: 0 metric tons
Company: Samoa - Emissions: 0 metric tons
Company: OECD (GCP) - Emissions: 14033 metric tons
Company: Hong Kong - Emissions: 45 metric tons
